index,date
0,2019-01-30
1,2019-01-31
2,2019-02-01
3,2019-02-04
4,2019-02-05
5,2019-02-06
6,2019-02-07
7,2019-02-08
8,2019-02-11
9,2019-02-12
10,2019-02-13
11,2019-02-14
12,2019-02-15
13,2019-02-19
14,2019-02-20
15,2019-02-21
16,2019-02-22
17,2019-02-25
18,2019-02-26
19,2019-02-27
20,2019-02-28
21,2019-03-01
22,2019-03-04
23,2019-03-05
24,2019-03-06
25,2019-03-07
26,2019-03-08
27,2019-03-11
28,2019-03-12
29,2019-03-13
30,2019-03-14
31,2019-03-15
32,2019-03-18
33,2019-03-19
34,2019-03-20
35,2019-03-21
36,2019-03-22
37,2019-03-25
38,2019-03-26
39,2019-03-27
40,2019-03-28
41,2019-03-29
42,2019-04-01
43,2019-04-02
44,2019-04-03
45,2019-04-04
46,2019-04-05
47,2019-04-08
48,2019-04-09
49,2019-04-10
50,2019-04-11
51,2019-04-12
52,2019-04-15
53,2019-04-16
54,2019-04-17
55,2019-04-18
56,2019-04-22
57,2019-04-23
58,2019-04-24
59,2019-04-25
60,2019-04-26
61,2019-04-29
62,2019-04-30
63,2019-05-01
64,2019-05-02
65,2019-05-03
66,2019-05-06
67,2019-05-07
68,2019-05-08
69,2019-05-09
70,2019-05-10
71,2019-05-13
72,2019-05-14
73,2019-05-15
74,2019-05-16
75,2019-05-17
76,2019-05-20
77,2019-05-21
78,2019-05-22
79,2019-05-23
80,2019-05-24
81,2019-05-28
82,2019-05-29
83,2019-05-30
84,2019-05-31
85,2019-06-03
86,2019-06-04
87,2019-06-05
88,2019-06-06
89,2019-06-07
90,2019-06-10
91,2019-06-11
92,2019-06-12
93,2019-06-13
94,2019-06-14
95,2019-06-17
96,2019-06-18
97,2019-06-19
98,2019-06-20
99,2019-06-21
100,2019-06-24
101,2019-06-25
102,2019-06-26
103,2019-06-27
104,2019-06-28
105,2019-07-01
106,2019-07-02
107,2019-07-03
108,2019-07-05
109,2019-07-08
110,2019-07-09
111,2019-07-10
112,2019-07-11
113,2019-07-12
114,2019-07-15
115,2019-07-16
116,2019-07-17
117,2019-07-18
118,2019-07-19
119,2019-07-22
120,2019-07-23
121,2019-07-24
122,2019-07-25
123,2019-07-26
124,2019-07-29
125,2019-07-30
126,2019-07-31
127,2019-08-01
128,2019-08-02
129,2019-08-05
130,2019-08-06
131,2019-08-07
132,2019-08-08
133,2019-08-09
134,2019-08-12
135,2019-08-13
136,2019-08-14
137,2019-08-15
138,2019-08-16
139,2019-08-19
140,2019-08-20
141,2019-08-21
142,2019-08-22
143,2019-08-23
144,2019-08-26
145,2019-08-27
146,2019-08-28
147,2019-08-29
148,2019-08-30
149,2019-09-03
150,2019-09-04
151,2019-09-05
152,2019-09-06
153,2019-09-09
154,2019-09-10
155,2019-09-11
156,2019-09-12
157,2019-09-13
158,2019-09-16
159,2019-09-17
160,2019-09-18
161,2019-09-19
162,2019-09-20
163,2019-09-23
164,2019-09-24
165,2019-09-25
166,2019-09-26
167,2019-09-27
168,2019-09-30
169,2019-10-01
170,2019-10-02
171,2019-10-03
172,2019-10-04
173,2019-10-07
174,2019-10-08
175,2019-10-09
176,2019-10-10
177,2019-10-11
178,2019-10-14
179,2019-10-15
180,2019-10-16
181,2019-10-17
182,2019-10-18
183,2019-10-21
184,2019-10-22
185,2019-10-23
186,2019-10-24
187,2019-10-25
188,2019-10-28
189,2019-10-29
190,2019-10-30
191,2019-10-31
192,2019-11-01
193,2019-11-04
194,2019-11-05
195,2019-11-06
196,2019-11-07
197,2019-11-08
198,2019-11-11
199,2019-11-12
200,2019-11-13
201,2019-11-14
202,2019-11-15
203,2019-11-18
204,2019-11-19
205,2019-11-20
206,2019-11-21
207,2019-11-22
208,2019-11-25
209,2019-11-26
210,2019-11-27
211,2019-11-29
212,2019-12-02
213,2019-12-03
214,2019-12-04
215,2019-12-05
216,2019-12-06
217,2019-12-09
218,2019-12-10
219,2019-12-11
220,2019-12-12
221,2019-12-13
222,2019-12-16
223,2019-12-17
224,2019-12-18
225,2019-12-19
226,2019-12-20
227,2019-12-23
228,2019-12-24
229,2019-12-26
230,2019-12-27
231,2019-12-30
232,2019-12-31
233,2020-01-02
234,2020-01-03
235,2020-01-06
236,2020-01-07
237,2020-01-08
